Country,Cost_of_Living_Index,Rent_Index,Groceries_Index,Restaurant_Price_Index,Local_Purchasing_Power_Index,year,GDP_per_capita_PPP,Inflation_percent,CPI_index,Affordability_Ratio,Cluster
Switzerland,101.1,46.5,109.1,97.0,158.7,2024,93818.7074809256,1.06234041976595,105.509114228825,0.0010776102412256613,2.0
Iceland,83.0,39.2,88.4,86.8,120.3,2024,78258.759250789,5.85683849970066,172.757931043999,0.0010605841543438884,2.0
Singapore,76.7,67.2,74.6,50.4,111.1,2024,150689.301625826,2.38951123595017,133.157196246749,0.0005089943292089338,2.0
Barbados,76.6,19.0,80.8,69.4,43.5,2024,22671.9466863479,-0.462229168356216,170.100167922524,0.0033786247409502475,2.0
Norway,76.0,26.2,79.0,73.5,114.7,2024,101031.587516818,3.14530134431073,145.109039905891,0.0007522399862057876,2.0
Denmark,72.3,26.4,64.8,81.3,127.2,2024,79514.2854383058,1.37220049768918,127.292206053031,0.0009092705744818233,2.0
United States,70.4,41.7,75.0,67.2,142.3,2024,85809.9003846359,2.94952520485207,143.857336014608,0.0008204181532018768,2.0
Australia,70.2,33.4,77.3,62.5,127.4,2024,71193.2158509788,3.1616142830575,144.302809573361,0.000986049009879568,2.0
Austria,65.1,22.5,66.4,59.3,102.4,2024,71617.9017496321,2.93791574279383,148.175521565418,0.0009089906072308856,2.0
Canada,64.8,33.2,71.2,61.7,103.7,2024,65463.0990993361,2.38158383281173,138.10818546079,0.0009898706430269992,2.0
New Zealand,64.6,25.9,71.9,57.1,121.0,2024,55093.5360762134,2.92279782301957,140.863099606157,0.001172551348140658,2.0
Ireland,64.4,42.3,59.3,65.3,101.1,2024,131175.106854149,2.11344999577317,127.227722772277,0.0004909468080068354,2.0
France,63.7,21.0,69.5,56.3,102.4,2024,61321.691319446,1.99904942291463,126.506713121822,0.0010387841337931233,2.0
Finland,63.2,19.7,63.0,63.6,118.0,2024,64091.2251829548,1.56568906231616,133.092512043014,0.0009860944274288608,2.0
Netherlands,63.1,33.5,59.9,61.2,124.9,2024,84218.4586435096,3.34754304219953,142.274832358267,0.0007492419241142557,2.0
Israel,62.7,27.1,59.6,68.0,99.4,2024,55690.7391030986,3.05710605410043,122.404992720087,0.0011258604394516181,2.0
Luxembourg,62.4,40.5,64.1,68.7,182.5,2024,150772.358842278,2.05113269954859,133.925743925744,0.0004138689643058264,2.0
Germany,62.2,24.4,60.8,52.8,120.2,2024,72300.1205050011,2.2564981433876,134.868598852104,0.0008603028537925817,2.0
United Kingdom,62.0,31.1,56.9,62.7,115.2,2024,60620.3807747583,3.2715729463592,147.410763824672,0.001022758339812609,2.0
Belgium,61.1,20.1,57.5,66.0,109.8,2024,72126.0028888089,3.14349136500041,142.15172611785,0.0008471286020687042,2.0
Sweden,59.3,20.9,60.8,54.7,122.6,2024,71030.4601718093,2.83581658224034,137.253248917946,0.0008348531018462286,2.0
Italy,56.2,19.2,57.0,53.3,78.3,2024,60846.9830270279,0.982373023061417,129.880793465012,0.0009236283740647629,2.0
United Arab Emirates,55.8,41.3,45.3,49.2,127.9,2024,77958.8954093036,1.66336510224894,122.213261700573,0.0007157618089255384,2.0
Cyprus,54.7,24.8,49.6,53.2,71.4,2024,61239.66015625,1.80023018624815,119.222446178799,0.0008932120109817009,2.0
Uruguay,54.1,13.8,52.1,50.2,56.3,2024,36417.874162496,4.84914366613156,290.632486329719,0.0014855342670087393,1.0
Jamaica,53.9,14.1,62.0,38.8,32.7,2024,11662.3446837367,5.41194447981659,224.184157075152,0.004621712139512074,0.0
Malta,52.8,24.2,50.6,56.2,68.1,2024,67364.1825074247,1.65079469283109,131.41933829849,0.0007837993134434686,2.0
Costa Rica,52.3,16.7,56.1,43.1,46.2,2024,30062.849160468,-0.41345934225229,143.101382729388,0.0017396887341194983,1.0
Bahrain,52.3,20.5,46.9,44.7,105.0,2024,67210.9890947485,0.919635459817651,120.685856129837,0.0007781465606207904,2.0
Greece,52.0,12.9,48.4,51.3,53.0,2024,44074.2956697377,2.74149045788606,118.779584438646,0.0011798260008430322,2.0
Estonia,52.0,15.0,46.4,50.6,80.4,2024,49333.8067758296,3.52056053296586,171.699371308821,0.0010540439385974298,2.0
Qatar,51.3,36.1,43.9,47.2,161.1,2024,126110.108801588,1.26734310292375,126.021977745975,0.0004067873740455771,2.0
Slovenia,49.9,18.7,49.0,43.4,80.9,2024,56530.6296825064,1.96562656432512,134.878382554187,0.0008827073089447955,2.0
Latvia,49.1,11.2,42.8,44.9,66.9,2024,43866.9592690499,1.26579885828729,156.524444429468,0.0011192934458678619,1.0
Spain,47.3,22.9,46.0,44.1,92.1,2024,56926.2399029671,2.77417826534772,131.50720206156,0.0008308997762828638,2.0
Lithuania,47.1,15.6,44.2,43.5,75.5,2024,54413.9640682813,0.715735835228723,164.986340159053,0.0008655866339915361,2.0
Panama,46.4,20.1,48.3,42.2,42.2,2024,41404.7624346218,0.693225551004538,128.379893114497,0.0011206440339626557,1.0
Japan,46.1,13.4,53.7,27.8,117.0,2024,51685.038752551,2.73853681635241,114.41378098084,0.0008919409003582232,1.0
Croatia,45.5,13.8,43.5,42.2,75.0,2024,48575.2136083001,2.97200477643618,138.886900501074,0.0009366917120921392,1.0
Saudi Arabia,45.3,11.3,41.6,30.9,134.9,2024,71243.4311791406,1.68792112375812,134.596474856629,0.0006358480950488444,2.0
Portugal,45.1,24.0,43.8,36.9,56.9,2024,50616.5930893707,2.41613187791884,129.035445303373,0.0008910121611774547,1.0
Oman,42.4,12.2,39.9,33.1,139.8,2024,41664.1794999015,,,0.0010176607462076684,
Kuwait,42.1,22.6,34.5,36.4,161.8,2024,51635.9598107224,2.89855072463762,148.248402787014,0.0008153232776987672,1.0
Albania,42.1,10.6,42.0,35.7,39.9,2024,23487.9936251703,2.21448953273292,141.078343643036,0.0017924051186255698,1.0
Hungary,41.7,11.3,39.8,37.0,63.4,2024,47635.8955299223,3.70370370370369,183.90930951563,0.0008753902815536723,1.0
Jordan,41.2,7.2,37.1,34.8,45.5,2024,10821.4909765317,1.55659611283953,138.011190097021,0.0038072387704568087,1.0
Armenia,41.0,19.0,36.0,38.9,38.5,2024,22823.1795255692,0.269511978259125,155.676795347859,0.0017964192918023098,1.0
Poland,40.8,17.1,36.8,35.0,85.8,2024,50378.0641849255,3.79060897630203,164.151158966994,0.0008098762955685082,1.0
Mexico,40.2,15.5,43.4,35.7,45.4,2024,25688.0964960445,4.72225588452932,184.432651983998,0.0015649271640734482,1.0
El Salvador,39.5,14.6,43.4,29.6,31.9,2024,13264.027090968,0.853782292567288,128.974874703245,0.0029779794423744135,1.0
Montenegro,39.4,15.8,36.7,36.3,52.9,2024,33379.6432555927,3.33675009282281,151.256259085343,0.0011803601284264354,1.0
Chile,39.1,11.1,41.6,34.8,45.1,2024,34637.1168279143,4.29763891572524,177.985456906926,0.001128846843525066,1.0
Guatemala,38.8,12.6,41.8,31.1,34.5,2024,14368.6601241885,2.86992752918288,179.604383910689,0.0027003213705836964,1.0
Bulgaria,38.3,10.3,38.2,34.7,68.4,2024,41086.1194132913,2.44651943006079,155.381367457081,0.0009321883046372591,1.0
Dominican Republic,37.9,10.6,37.6,33.1,28.7,2024,27541.183570599,3.30223338951227,174.88098465594,0.0013761209609183002,1.0
Serbia,37.7,12.4,36.0,31.2,50.2,2024,31867.2389617503,4.6705297488997,200.521686381559,0.0011830331471531206,1.0
Romania,37.5,9.9,36.6,35.5,63.8,2024,48712.173062205,5.72140574354439,177.248415402478,0.0007698281074858402,1.0
Cambodia,37.3,9.6,43.5,22.7,23.9,2024,7969.93361077408,,,0.0046800891728353096,
